"doc_id","text","date","agenda","speechnumber","speaker","party","party.facts.id","chair","terms","parliament","iso3country","unique_id","pred_topic","pred_topic_name"
121393.11,"Egal ob bei TTIP oder beim CETA-Handelsabkommen mit Kanada: Dass es um freien Handel geht, ist doch nur noch Fassade.",2018-03-02,"Tagesordnungspunkte 15 a und 15 b:  a) Erste Beratung des von den Abgeordneten Christian Lindner, Alexander Graf Lambsdorff, Michael Georg Link, weiteren Abgeordneten und der Fraktion der FDP eingebrachten Entwurfs eines Gesetzes zu dem umfassenden",91,"Hansjörg Müller","AfD",1976,FALSE,333,"DE-Bundestag","DEU",5800945,0,"Agriculture - Protectionism"
184779.7,"Herr Girisch , die Frage der Nutzungserweiterung ist von vielen Sachargumenten geprägt .",2004-09-29,NA,103,"Georg Girisch","CDU/CSU",211,FALSE,179,"DE-Bundestag","DEU",2742981,0,"Agriculture - Protectionism"
1101.25,"(Zustimmung bei der SPD) Dafür erntete ich allerhand Pfiffe .",1991-03-21,NA,277,"Gunter Weißgerber","SPD",383,FALSE,874,"DE-Bundestag","DEU",17102,0,"Agriculture - Protectionism"
220179.45,"Das ist wieder einmal ein Beispiel dafür , dass reiche Rohstoffvorkommen für Länder in Afrika häufig nicht ein Segen , sondern ein Fluch sind .",2007-11-15,NA,86,"Eckart von Klaeden","CDU/CSU",211,FALSE,1103,"DE-Bundestag","DEU",3353328,0,"Agriculture - Protectionism"
85172.4,"Das ist ein Politikverständnis , das jenseits der guten Sitten liegt und das ignoriert , daß die Landwirtschaft , die Bauern mit der Honorierung gesellschaftlicher Leistungen im Natur- und Landschaftsschutz Einkommensmöglichkeiten haben , die akzeptiert sind , die die Gesellschaft unterstützen möchte und die auch diese Bundesregierung unterstützen möchte .",1999-06-17,NA,33,"Ulrike Höfken","GRUENE",1816,FALSE,1078,"DE-Bundestag","DEU",1626856,0,"Agriculture - Protectionism"
181992.13,"Bei den Tabakanbauern wird es zu einer Existenzgefährdung vieler Betriebe kommen .",2004-05-27,NA,171,"Albert Deß","CDU/CSU",211,FALSE,323,"DE-Bundestag","DEU",2690841,0,"Agriculture - Protectionism"
1656610.15,"Eine andere Voraussetzung war die klare Bedingung des Bundesfinanzministers : Defizithaftung nur bei Pflichtversicherung der Bäuerinnen .",1995-11-23,NA,330,"Christel Deichmann","SPD",383,FALSE,1182,"DE-Bundestag","DEU",957141,0,"Agriculture - Protectionism"
91791.26,"Entscheidend ist natürlich , ob die Mitgliedstaaten bereit sind , den Weg der unmittelbaren Produktionsdrosselung gegen Einkommensausgleich konsequent mitzugehen .",1995-06-01,NA,251,"Egon Susset","CDU/CSU",211,FALSE,681,"DE-Bundestag","DEU",854173,0,"Agriculture - Protectionism"
339913.42,"Die hohen Exportzahlen sprechen eine klare Sprache .",2001-03-08,NA,17,"Joachim Poß","SPD",383,FALSE,1599,"DE-Bundestag","DEU",2021181,0,"Agriculture - Protectionism"
2302411.48,"Meine sehr verehrten Damen und Herren , der Brief ist trotzdem unvollständig , weil dieser Kollege aus dem Bayerischen Landtag nur auf die Kürzungen im Agrarsozialbereich hinweist .",2000-05-18,NA,89,"Albert Deß","CDU/CSU",211,FALSE,1628,"DE-Bundestag","DEU",1843915,0,"Agriculture - Protectionism"
